ktp.source_key,ssn_min,ssn_q20,ssn_q40,ssn_median,ssn_q60,ssn_q80,ssn_max,works_min,works_q20,works_q40,works_median,works_q60,works_q80,works_max,cited_min,cited_q20,cited_q40,cited_median,cited_q60,cited_q80,cited_max,tukey_outlier_row_count,global_tukey_outlier_row_count,authorid_count,authorids_json,ssn_sum_hit_1pct_tukey_fragments_json,works_count_tukey_fragments_json,cited_by_count_tukey_fragments_json,tukey_priority_selected_fragment,max_works_rule_selected_fragment,flag,selected_fragments_same
"{""ktp.first_name"": ""A."", ""ktp.last_name"": ""Sheikh""}",2.0,6.200000000000001,8.0,8.5,9.8,30.400000000000006,2188.0,9.0,36.0,63.0,68.0,75.4,142.4,1963.0,146.0,616.6,1221.0,1571.0,2065.0,4320.8,162658.0,2,1,14,"[""A5026215303"",""A5039647575"",""A5041496759"",""A5041587191"",""A5034991492"",""A5034325991"",""A5011108358"",""A5086135664"",""A5021490071"",""A5035137570"",""A5008776496"",""A5111575965"",""A5015044134"",""A5015104984""]","[""A5026215303"",""A5021490071""]","[""A5026215303""]","[""A5026215303""]",A5026215303,A5026215303,true,true
"{""ktp.first_name"": ""Achim"", ""ktp.last_name"": ""Schwenk""}",2.0,127.8,253.6,316.5,379.4,505.2,631.0,78.0,142.8,207.60000000000002,240.0,272.4,337.20000000000005,402.0,3240.0,6583.6,9927.2,11599.0,13270.8,16614.4,19958.0,0,1,2,"[""A5078191461"",""A5067817297""]",[],[],[],,,true,true
"{""ktp.first_name"": ""Anders "", ""ktp.last_name"": ""Lyngfelt""}",,,,,,,,,,,,,,,,,,,,,,0,0,0,[],[],[],[],,,true,true
"{""ktp.first_name"": ""Anjana"", ""ktp.last_name"": ""Rao""}",2.0,2.0,2.0,2.0,100.99999999999997,299.00000000000006,497.0,3.0,4.6000000000000005,6.2,7.0,85.59999999999998,242.80000000000004,400.0,376.0,593.2,810.4,919.0,14699.799999999997,42261.4,69823.0,0,1,3,"[""A5080472610"",""A5111567163"",""A5070557985""]",[],[],[],,,true,true
"{""ktp.first_name"": ""Ary A"", ""ktp.last_name"": ""Hoffmann""}",,,,,,,,,,,,,,,,,,,,,,0,0,0,[],[],[],[],,,true,true
"{""ktp.first_name"": ""Baerbel-Maria"", ""ktp.last_name"": ""Kurth""}",,,,,,,,,,,,,,,,,,,,,,0,0,0,[],[],[],[],,,true,true
"{""ktp.first_name"": ""Baoshan "", ""ktp.last_name"": ""Xing""}",,,,,,,,,,,,,,,,,,,,,,0,0,0,[],[],[],[],,,true,true
"{""ktp.first_name"": ""Bernard"", ""ktp.last_name"": ""Prendergast""}",23.0,104.00000000000001,185.00000000000003,225.5,266.0,347.00000000000006,428.0,47.0,139.8,232.6,279.0,325.4,418.2,511.0,9806.0,15873.6,21941.2,24975.0,28008.8,34076.4,40144.0,0,2,2,"[""A5060916411"",""A5003165943""]",[],[],[],,,true,true
"{""ktp.first_name"": ""Brenda W. J. H."", ""ktp.last_name"": ""Penninx""}",19.0,491.40000000000003,963.8000000000001,1200.0,1436.1999999999998,1908.6000000000001,2381.0,2.0,355.80000000000007,709.6000000000001,886.5,1063.3999999999999,1417.2000000000003,1771.0,265.0,32763.800000000003,65262.600000000006,81512.0,97761.4,130260.20000000001,162759.0,0,1,2,"[""A5055183685"",""A5107414932""]",[],[],[],,,true,true
"{""ktp.first_name"": ""Bruce "", ""ktp.last_name"": ""Fischl""}",,,,,,,,,,,,,,,,,,,,,,0,0,0,[],[],[],[],,,true,true
